max,std,mean
304,47.07583547547814,170.78
256,43.572885221552774,167.66
303,44.446969089292125,174.76
305,42.48275040098808,169.54
255,43.980960630245264,172.96
310,37.66785561906565,184.3
247,31.754215532455415,179.58
347,46.66948485173723,174.2
290,51.90976865323764,181.78
414,64.17370877516106,201.98
426,61.66010849481078,204.52
318,47.560247506264545,204.32
346,56.024411588856076,220
363,54.48602516953783,200.74
431,62.270119279651624,202.94
371,51.505434625079786,204.08
432,59.52230245711198,195.44
275,38.963515116119616,173.26
510,67.92042462788828,232.14
495,70.67674039352028,303.32
846,116.37007996132031,304.62
548,101.34406137268333,319.44
857,149.39961478517668,364.4
715,112.13155721048817,332.06
918,158.20420799893859,303.2
641,102.32055272624402,282.12
655,97.43515687839974,207.32
479,100.52044365121324,237.26
1601,285.9172314941968,592.3
1298,279.6268475621592,572.64
2601,553.4116466178182,811.28
4845,887.1510349289517,1221.02
3434,794.4319947520456,968.64
4295,922.513176942559,1159.64
8285,1840.9956734864745,1614.54
11074,2240.7398731632534,2540.38
36941,6301.138394750263,4391.54
223615,35295.602649298155,15322.52
428971,79041.26656507101,28931.44
3000007,425945.1612887528,71203.62
